abduct	sequestrare
swap	scambiare
sway1	ondeggiare
swear1	giurare
swear2	imprecare
sweat	sudare
swim	nuotare
swing	oscillare
swoon	svenire
tackle	affrontare
take	prendere
talk2	conversare
tan	abbronzarsi
tap1	picchiettare
tap2	battere
tarnish2	annerire
taste	gustare
teach	insegnare
tear1	strappare
tease	stuzzicare
tell	raccontare
tend1	propendere
tend2	occuparsi
testify	testimoniare
thaw	disgelare
think	pensare
throw1	gettare
throw3	buttare
tickle	solleticare
tie	legare
tire	stancare
toast1	brindare
toast2	tostare
toil	faticare
toss1	gettare
touch	toccare
tow	rimorchiare
trail1	strascicare
transplant	trapiantare
travel	viaggiare
tread	calpestare
treat	trattare
trim	potare
triumph	trionfare
try	provare
tug	tirare
tumble	ruzzolare
turn2	voltare
understand	capire
unite	unire
unload2	sbarcare
update	aggiornare
upset	turbare
urge	sollecitare
use	usare
usurp	usurpare
vacate	sgombrare
vanish	svanire
vary	variare
veer	virare
verify	verificare
visit	visitare
vomit	vomitare
wag	dimenare
wait	aspettare
wake	svegliare
walk	camminare
wander	vagabondare
want	volere
warn	avvertire
wash	lavare
waste	sprecare
watch2	sorvegliare
wear	indossare
weave	intrecciare
wed1	sposare
weep	lacrimare
whip	frustare
whisper	sussurrare
whistle	fischiare
wiggle1	dimenarsi
win	vincere
wipe1	pulire
wipe2	asciugare
withdraw	ritirare
work	lavorare 
worry1	preoccuparsi
wrap1	avvolgere
wrap2	incartare
wreck	rovinare
write	scrivere
yawn	sbadigliare
yearn2	agognare
yell	sbraitare
yield1	cedere
yield3	rendere
