abduct	uprowadzić
commit	popełnić
communicate	komunikować się
compete	rywalizować
complain	narzekać
compose	komponować
compound	zespalać
comprehend	pojmować
compute	obliczać
concentrate	koncentrować się
concern	przejmować
concur	przychylać się
condemn	potępiać
confess	wyznać
confuse	dezorientować
connect	łączyć
conquer	podbić
console	pocieszać
conspire	spiskować
construct	konstruować
control	kontrolować
convince	przekonać
cook	gotować
cooperate	kooperować
cope	podołać
correct	korygować
corrupt	korumpować
cough	kaszleć
count	liczyć
cover	przykryć
crack	pękać
crackle	trzaskać
crash	rozbić
crave	łaknąć
crawl	czołgać się
create	tworzyć
criticize	krytykować
croak	chrypieć
crochet	szydełkować
cruise	krążyć
crunch	chrupać
crush	zmiażdżyć
cry	płakać
cuddle	tulić
damn	przeklinać
dance	tańczyć
dare	odważyć się
dash	pędzić
deal1	rozdawać
deal2	handlować
debate	debatować
decay	gnić
deceive	zwodzić
decide	decydować
decline	obniżać się
decompose	rozkładać się
decorate	dekorować
decrease	maleć
dedicate	przeznaczać
defeat	pokonać
defend	bronić
define	definiować
defrost	rozmrażać
degrade	degradować
delay	opóźniać
deliver	dostarczać
demand	żądać
demolish	zburzyć
deny	zaprzeczać
depart	wyruszyć
depend	zależeć
deposit	deponować
descend	schodzić
describe	opisać
design	projektować
desire	pożądać
despair	rozpaczać
despise	gardzić
destroy	niszczyć
detach	odłączyć
deteriorate	pogarszać się
determine	ustalać
develop	rozwijać
devote	poświęcać
die	umierać
differ	różnić się
dig	kopać
diminish	zmniejszać
dip1	zanurzać się
dip2	zanurzać
direct	kierować
disagree	nie zgadzać się
disallow	nie uznawać
disappear	znikać
disappoint	rozczarować
disbelieve	nie dowierzać
discharge	uwalniać
discourage	zniechęcać
discover	odkryć
discuss	dyskutować
disguise	zamaskować
disgust	obrzydzać
disintegrate	rozpadać się
dislike	nie lubić
dismay	skonsternować
dismiss	lekceważyć
disown	wyrzekać się
disperse	rozpraszać się
dispose	pozbyć się
disprove	obalać
disregard	deprecjonować
dissolve	rozpuszczać 
disturb	przeszkadzać
dive	nurkować
divide	dzielić
do	robić
dominate	dominować
doubt	wątpić
doze	kimać
drag	zaciągnąć
drain	odsączyć
draw	rysować
drench	przemoczyć
drift	dryfować
drink	pić
drip	kapać
drive	jechać
drown1	utopić
drown2	utonąć
duck	uchylać się
dump	wyrzucać
dunk	maczać
duplicate	duplikować
earn	zarabiać
educate	kształcić
elect	wyłaniać
embarrass	zawstydzić
embrace	objąć
encourage	zachęcać
enforce	egzekwować
engage	angażować
enjoy	cieszyć się
enrage	rozwścieczać
ensure	zapewnić
enter	wchodzić
entertain	bawić
erode	erodować
erupt	wybuchać
escape	uciekać
evacuate1	ewakuować
evacuate2	ewakuować się
evaluate	oceniać
evict	eksmitować
examine	badać
exceed	przekraczać
excel	wyróżniać się
exchange	wymieniać się
excuse	usprawiedliwiać
exhale	wydychać
exist	istnieć
explain	wytłumaczyć
explode	eksplodować
exploit	wykorzystać
express	wyrazić
face	stawiać czoła
fade	blaknąć
fail	zawieść
fall	spaść
fasten	przymocować
feed	karmić
feel	czuć
fight	walczyć
fill	napełniać
find	znaleźć
finish	kończyć
fit	pasować
fix	naprawić
flap	trzepotać
flash	błyskać
flee	umykać
flex1	napinać
flex2	zginać
fling	miotać
flip	przewracać
float	unosić się
flow	płynąć
flush	spłukać
flutter	łopotać
fly	latać
foil	udaremnić
fold	składać
follow	śledzić
forbear	powstrzymywać się
forbid	zabraniać
forget	zapomnieć
forgive	wybaczyć
frame1	oprawiać
frame2	formułować
free1	uwalniać
free2	oswobadzać
freeze	zamrażać
frighten	przerazić
frustrate	frustrować
fry	smażyć
gain	zdobyć
gamble	spekulować
gather	gromadzić
get	dostać
giggle	chichotać
give	dać
glance	spojrzeć
glare	razić
glide	sunąć
glow	promienieć
go	iść
grab	chwytać
graduate	ukończyć 
grant	udzielać
grasp	złapać
grate	trzeć
graze	paść się
greet	powitać
grill	grillować
grind	mielić
grow	rosnąć
guess	zgadnąć
gulp	łykać
hamper	utrudniać
handle	obchodzić się
hang	zawiesić
happen	zdarzyć się
hatch	wylęgać się
hate	nienawidzić
haul	wlec
haunt	prześladować
have	mieć
heal1	wyleczyć
heal2	wyzdrowieć
hear	słyszeć
help	pomagać
hesitate	wahać się
hide	ukrywać 
hike	spacerować
hit	uderzyć
hitch	zadrzeć
hold	trzymać
holler	wydzierać się
hoot	huczeć
hop	podskakiwać
hope	mieć nadzieję
hug	przytulić
hum	nucić
humiliate	poniżać
hunt	polować
hurry	śpieszyć się
hurt	ranić
hustle	poganiać
hypnotize	hipnotyzować
ignore	ignorować
imagine	wyobrażać sobie
imitate	imitować
impersonate	naśladować
implode	implodować
impose1	narzucać
impose2	narzucać się
incline	skłonić
include	zawierać
increase	zwiększać
inform	poinformować
inhale	wdychać
inquire	dowiadywać się
inspect	sprawdzać
instruct	instruować
insult	obrazić
insure	ubezpieczyć
integrate	integrować
intend	zamierzać
interrupt	przerywać
intoxicate	odurzyć
introduce	przedstawić
invalidate	unieważnić
invent	wymyślić
invite	zaprosić
involve	dotyczyć
irritate	irytować
jerk	szarpać
jog	biegać 
join	złączyć
judge	osądzać
jump	skakać
justify	uzasadniać
keep	zachować
kick	kopnąć
kidnap	porwać
kill	zabić
kiss	pocałować
kneel	klęczeć
knit	dziergać
knock	pukać
know	wiedzieć
laugh	śmiać się
launch	uruchomić
lay	kłaść
lead	prowadzić
lean	pochylać się
leap	skoczyć
learn	uczyć się
leave	wyjechać
lend	użyczyć
let	pozwolić
lick	lizać
lie	kłamać
lift	podnosić
like	lubić
limit	limitować
limp	utykać
listen	słuchać
litter	śmiecić
live	żyć
look	patrzeć
loosen	poluzować
lose	stracić
lounge	rozsiadać się
lower	obniżać
magnify	powiększać
make	sporządzać
manage	zarządzać
marry	poślubić
matter	liczyć się
mean	znaczyć
meet	spotykać
melt	stopić
mend	poreperować
mimic	przedrzeźniać
mind1	baczyć
mind2	mieć coś przeciw
miss	tęsknić
misspend	trwonić
mistreat	maltretować
mix	mieszać
move	ruszać się
mow	kosić
multiply	mnożyć
munch	przekąszać
nag	dokuczać
nap	drzemać
need	potrzebować
neglect	zaniedbać
notify	powiadamiać
nullify	anulować
obey1	słuchać się
obey2	przestrzegać
object	sprzeciwiać się
observe	obserwować
obtain	uzyskać
offend	urazić
operate	działać
organize	organizować
originate	zapoczątkować
outnumber	przeważać
overcome	przezwyciężać
overflow	przelewać się
overpower	obezwładniać
overwhelm	przytłaczać
own	posiadać
paint	malować
pardon	przebaczyć
participate	uczestniczyć
pass	przechodzić
pat	poklepać
pause	przerwać
pay	płacić
pelt	obrzucać
perceive	postrzegać
perform	wykonać
perish	zginąć
permit	zezwalać
perspire	wypacać
persuade	nakłaniać
pick	wybierać
pinch	uszczypnąć
play	bawić się
plead	upraszać
please	podobać się
plow	orać
pluck	skubać
poach	gotować
poise	równoważyć
polish	polerować
ponder	rozważać
pop	wystrzelić
portray	portretować
possess	posiąść
pounce	rzucać się
pour	wlać
practice	ćwiczyć
pray	modlić się
predict	przewidzieć
prefer	woleć
prepare	przygotować
press	naciskać
presume	domniemywać
pretend	udawać
preview	prezentować
prick	kłuć
print	drukować
produce	produkować
prohibit	wzbraniać
promise	obiecywać
promote	promować
prosecute	zaskarżyć
prosper	prosperować
protect	chronić
protest	protestować
prove	udowodnić
pull	ciągnąć
punch	walnąć
punish	ukarać
purchase	zakupić
push	pchać
put	położyć
quench	ugasić
raise	podnieść
rap	stukać
rationalize	racjonalizować
rattle	grzechotać
reach	sięgać
read	czytać
realize	uświadomić sobie
reap	zbierać
reappear	pojawić się
rearrange	przestawiać
rebel	buntować się
recall	wspominać
receive	otrzymać
recommend	polecać
recruit	rekrutować
recycle	utylizować
reduce	redukować
reel	nawinąć
reflect1	odzwierciedlać
reflect2	zastanawiać się
refrain	wystrzegać się
refuse	odmawiać
register	zarejestrować
regret	żałować
reject	odrzucać
rejoice	radować się
relax	relaksować się
release	wypuszczać
rely	polegać
remain	pozostawać
remark	nadmienić
remember	pamiętać
remind	przypominać
remove	usunąć
renounce	zrzekać się
repair	reperować
repeat	powtarzać
replace	zastąpić
reply	odrzec
repress	tłumić
reprimand	skarcić
reproduce	reprodukować
request	poprosić
rescue	ratować
reserve	rezerwować
respect	szanować
respond	odpowiedzieć
restore	odnawiać
restrict	ograniczać
result	wynikać
retain	zatrzymać
retire	odejść
retreat	wycofać się
return	powracać
review	przejrzeć
ride	jeździć
ridicule	kpić
rinse	płukać
rip	rozerwać
rise1	podnosić się
rise2	wzrastać
risk	ryzykować
roam	wędrować
roar	ryczeć
rob	obrabować
rub	pocierać
run	biec
rush	śpieszyć
salute	pozdrawiać
save	zaoszczędzić
say	powiedzieć
scare	przestraszyć
scold	besztać
scramble	wdrapywać się
scratch	zadrapać
scream	krzyczeć
scribble	bazgrać
search	przeszukiwać
secure	zabezpieczyć
see	widzieć
seek	szukać
seem	wydawać się
seize	schwycić
select	selekcjonować
sell	sprzedać
send	wysłać
separate	oddzielać
serve	służyć
set	tężeć
settle	osiąść
sew	szyć
shake	trząść
shatter	roztrzaskać
shift1	przesunąć
shift2	przesunąć się
shine	świecić
shiver	drżeć
shoot	strzelać
shove	popychać
show	pokazać
shrink	kurczyć się
shuffle1	tasować
shuffle2	powłóczyć nogami	
shun	stronić
shut	zamknąć
sing	śpiewać
sink1	tonąć
sink2	topić
sip	popijać
sit	siedzieć
skip1	pominąć
skip2	przeskoczyć
slap	policzkować
slay	zgładzić
slice	pokroić
slide	ślizgać się
slip1	wsunąć
slip2	poślizgnąć się
slither	wić się
slurp	siorbać
smash	stłuc
smear	smarować
smell	powąchać
smoke1	palić
smoke2	wędzić
smother	udusić
smudge	rozmazać
snap	pstryknąć
snatch	wydrzeć
sneak	skradać się
sneeze	kichać
sniff	wąchać
snooze	przysypiać
snore	chrapać
snuggle	tulić się
soak	moczyć
soar	szybować
sob	szlochać
solve	rozwiązać
soothe	łagodzić
sow	siać
spank1	zbić
spank2	dać klapsa
spare	oszczędzić
spawn	ikrzyć się
speak	mówić
spell	literować
spend	wydawać 
spill	rozlać
spin1	obracać
spin2	obracać się
splash	ochlapać
split	rozdzielać
spoil	zepsuć
sprain	zwichnąć
spray	spryskać
spread1	rozprzestrzeniać
spread2	rozsmarować
spring	odskoczyć
sprinkle	posypać
squeak	piszczeć
squeal	kwiczeć
squeeze	ściskać
squint	mrużyć
stab	dźgnąć
stain	poplamić
stamp	stemplować
stand	stać
stare	gapić się
start	zaczynać
starve	głodować
stay	zostać
steal	kraść
steer	sterować
stew	dusić
sting	użądlić
stink	śmierdzieć
stir	wymieszać
stop1	zatrzymywać
stop2	przestawać
stop3	zatrzymywać się
strain1	odcedzić
strain2	wytężać
stray	błądzić
stretch	rozciągać
strike	uderzać
strip	rozebrać
strive	starać się
struggle	zmagać się
study	studiować
stumble	potknąć się
submit	poddać się
subtract	odejmować
succeed	powieść się 
suck	ssać
sue	pozwać 
suggest	sugerować
supply	zaopatrywać
suppose	przypuszczać
surpass	przewyższać
surprise	zaskoczyć
survive	przetrwać
suspect	podejrzewać
swallow	połknąć
swap	zamieniać się
sway1	kołysać się
sway2	kołysać
swear	przysięgać
sweat	pocić się
swim	pływać
swing	huśtać się
swoon	mdleć
tackle	zmierzyć się
take	brać
talk	rozmawiać
tan	opalić się
tap	popukać
tarnish	brukać
taste	smakować
teach	uczyć
tear	rozedrzeć
tease	dokuczać
tell	opowiedzieć
tend	doglądać
testify	zeznawać
thaw	odtajać
think	myśleć
throw	rzucać
tickle	łaskotać
tie	wiązać
tire	zmęczyć się
toast	tostować
toil	harować
toss	podrzucać
touch	dotykać
tow	holować
trail	tropić
transplant	przeszczepić
travel	podróżować
tread	stąpać
treat1	traktować
treat2	leczyć
trim	przystrzyc
triumph	triumfować
try	próbować
tug	pociągnąć
tumble	spadać
turn	odwracać
understand	rozumieć
unite	jednoczyć
unload	wyładować
update	uaktualniać
upset	zdenerwować
urge	namawiać
use	używać
usurp	uzurpować
vacate	opuszczać
vanish	znikać
vary	różnić się
veer	skręcać
verify	potwierdzać
visit	odwiedzać
vomit	wymiotować
wag	merdać
wait	czekać
wake	budzić
walk	chodzić
wander	włóczyć się
want	chcieć
warn	ostrzec
wash	myć
waste	marnować
watch	oglądać
wear	nosić
weave	tkać
wed	zaślubić
weep	łkać
whip	smagać
whisper	szeptać
whistle	gwizdać
wiggle	huśtać się
win	wygrać
wipe	wycierać
withdraw	wycofać 
work	pracować
worry	martwić
wrap1	owinąć
wrap2	opakować
wreck	zniszczyć
write	pisać
yawn	ziewać
yearn	pragnąć
yell	wrzeszczeć
yield	ustąpić
