abduct	誘拐する
disturb	邪魔する
dive	飛び込む
divide	分ける
do	する
dominate	支配する
doubt	疑う
doze	うたた寝する
drag	引きずる
drain	排出する
draw	描く
drench	びしょぬれにする
drift	漂う
drink	飲む
drip	したたる
drive	運転する
drown	溺死する
duck	かわす
dump	投げ捨てる
dunk	浸す
duplicate	複製する
earn	儲ける
educate	教育する
elect	選挙する
embarrass	当惑させる
embrace	抱きしめる
encourage	励ます
enforce	施行する
engage	従事させる
enjoy	楽しむ
enrage	激怒させる
ensure	保証する
enter	入る
entertain	楽しませる
erode	浸食する
erupt	噴火する
escape	逃げる
evacuate	避難させる
evaluate	評価する
evict	立ち退かせる
examine	調査する
exceed	越える
excel	まさる
exchange	交換する
excuse	言い訳する
exhale	吐き出す
exist	存在する
explain	説明する
explode	爆発する
exploit	利用する
express	表現する
face	面する
fade	あせる
fail	失敗する
fall	落ちる
fasten	締める
feed	餌を与える
feel	感じる
fight	戦う
fill	満たす
find	見つける
finish1	終わる
finish2	終える
fit	合う
fix	固定する
flap	はためく
flash	ひらめく
flee	逃げる
flex	曲げる
fling	投げる
flip	はじく
float	浮かぶ
flow	流れる
flush	赤らむ
flutter	羽ばたく
fly	飛ぶ
foil	挫折させる
fold	折りたたむ
follow	ついて行く
forbear	自粛する
forbid	禁じる
forget	忘れる
forgive	許す
frame	組み立てる
free	解放する
freeze	凍る
frighten	驚かせる
frustrate	失望させる
fry	揚げる
gain	得る
gamble	賭けをする
gather1	集まる
gather2	集める
get	得る
giggle	くすくす笑う
give	与える
glance	一瞥する
glare	ぎらぎら光る
glide	滑る
glow	輝く
go	行く
grab	ひっつかむ
graduate	卒業する
grant	認める
grasp	掴む
grate	おろす
graze	かすめる
greet	挨拶する
grill	焼く
grind	挽く
grow	成長する
guess	推測する
gulp	がぶ飲みする
hamper	邪魔する
handle	扱う
hang	吊す
happen	起こる
hatch	孵化する
hate	憎む
haul	引っ張る
haunt	出没する
have	持っている
heal	治す
hear	聞こえる
help	助ける
hesitate	ためらう
hide1	隠れる
hide2	隠す
hike	ハイキングする
hit	打つ
hitch	つなぐ
hold	握る
holler	叫ぶ
hoot	やじる
hop	跳ぶ
hope	望む
hug	抱きしめる
hum	うなる
humiliate	恥をかかせる
hunt	狩る
hurry	急ぐ
hurt	傷つける
hustle1	押し進める
hustle2	押し進む
hypnotize	催眠術をかける
ignore	無視する
imagine	想像する
imitate	まねる
impersonate	まねる
implode1	破裂する
implode2	破裂させる
impose	課す
incline	傾く
include	含む
increase1	増す
increase2	増やす
inform	知らせる
inhale	吸い込む
inquire	尋ねる
inspect	検査する
instruct	指示する
insult	侮辱する
insure	保証する
integrate	統合する
intend	意図する
interrupt	妨げる
intoxicate	酔わせる
introduce	紹介する
invalidate	無効にする
invent	発明する
invite	招待する
involve	巻き込む
irritate	いらいらさせる
jerk	急に引く
jog	ジョギングする
join	加わる
judge	判断する
jump	跳ぶ
justify	正当化する
keep	保つ
kick	蹴る
kidnap	誘拐する
kill	殺す
kiss	キスする
kneel	ひざまずく
knit	編む
knock	ノックする
know	知る
laugh	笑う
launch	開始する
lay	横たえる
lead	導く
lean	もたれる
leap	跳ぶ
learn	学ぶ
leave	去る
lend	貸す
let	許す
lick	なめる
lie1	嘘をつく
lie2	横たえる
lift	持ち上げる
like	好きだ
limit	制限する
limp	びっこを引く
listen	聴く
litter	散らかす
live	住む
look	見る
loosen	ゆるめる
lose	失う
lounge	ぶらぶら歩く
lower	下げる
magnify	拡大する
make	作る
manage	管理する
marry	結婚する
matter	関係する
mean	意味する
meet	会う
melt	溶ける
mend	直す
mimic	まねる
mind	注意する
miss	し損なう
misspend	浪費する
mistreat	虐待する
mix	混ぜる
move1	動く
move2	動かす
mow	刈る
multiply	掛ける
munch	むしゃむしゃ食べる
nag	悩ませる
nap	うたた寝する
need	必要とする
neglect	無視する
notify	通知する
nullify	無効にする
obey	従う
object	反対する
observe	観察する
obtain	得る
offend	怒らせる
operate	働く
organize	組織する
originate	生じる
outnumber	数が多い
overcome	打ち勝つ
overflow	溢れる
overpower	征服する
overwhelm	圧倒する
own	所有する
paint	塗る
pardon	許す
participate	参加する
pass	通り過ぎる
pat	軽く叩く
pause	休止する
pay	支払う
pelt	投げつける
perceive	知覚する
perform	行う
perish	死ぬ
permit	許す
perspire	発汗する
persuade	説得する
pick	選ぶ
pinch	つまむ
play	遊ぶ
plead	嘆願する
please	喜ばせる
plow	耕す
pluck	引き抜く
poach	進入する
poise	釣り合いを保つ
polish	磨く
ponder	熟考する
pop	ポンと鳴る
portray	描く
possess	所有する
pounce	襲いかかる
pour	注ぐ
practice	練習する
pray	祈る
predict	予測する
prefer	好む
prepare	準備する
press	押す
presume	仮定する
pretend	ふりをする
preview	試演を見る
prick	ちくりと刺す
print	印刷する
produce	生産する
prohibit	禁止する
promise	約束する
promote	促進する
prosecute	起訴する
prosper	繁盛する
protect	保護する
protest	抗議する
prove	証明する
pull	引く
punch	殴る
punish	罰する
purchase	購入する
push	押す
put	置く
quench	消す
raise	持ち上げる
rap	コツコツとたたく
rationalize	合理化する
rattle	ガタガタ鳴る
reach	届く
read	読む
realize	理解する
reap	刈り取る
reappear	再現する
rearrange	再整理する
rebel	反逆する
recall	思い出す
receive	受け取る
recommend	推薦する
recruit	採用する
recycle	再生利用する
reduce	減らす
reel	巻く
reflect	反射する
refrain	控える
refuse	拒む
register	登録する
regret	後悔する
reject	拒絶する
rejoice1	喜ぶ
rejoice2	喜ばせる
relax	くつろがせる
release	解放する
rely	頼る
remain	残る
remark	述べる
remember	覚えている
remind	思い出させる
remove	除去する
renounce	放棄する
repair	修理する
repeat	繰り返す
replace	取って代わる
reply	答える
repress	抑圧する
reprimand	叱責する
reproduce	再生する
request	頼む
rescue	救助する
reserve	予約する
respect	尊敬する
respond	返答する
restore	元に戻す
restrict	制限する
result	結果になる
retain	保持する
retire	引退する
retreat	退却する
return	返す
review	批評する
ride	乗る
ridicule	あざ笑う
rinse	すすぐ
rip	裂く
rise	昇る
risk	危険にさらす
roam	歩き回る
roar	吠える
rob	奪う
rub	こする
run	走る
rush	急ぐ
salute	挨拶する
save	救う
say	言う
scare	怖がらせる
scold	叱る
scramble	ごちゃ混ぜにする
scratch	ひっかく
scream	絶叫する
scribble	走り書きする
search	捜索する
secure	防護する
see	見る
seek	捜す
seem	見える
seize	つかみ取る
select	選ぶ
sell	売る
send	送る
separate	分ける
serve	仕える
set	置く
settle	落ち着かせる
sew	縫う
shake	振る
shatter	砕く
shift	移す
shine	輝く
shiver	震える
shoot	撃つ
shove	押す
show	示す
shrink	縮む
shuffle	シャッフルする
shun	避ける
shut	閉じる
sing	歌う
sink	沈む
sip	少しずつ飲む
sit	座る
skip	跳ぶ
slap	ぴしゃりと打つ
slay	殺す
slice	スライスする
slide	滑る
slip	滑る
slither	ズルズル滑る
slurp	音を立てて飲む
smash	粉砕する
smear	塗りつける
smell	におう
smoke	煙を出す
smother	窒息させる
smudge	汚す
snap	ポキッと折れる
snatch	ひったくる
sneak	こそこそ動く
sneeze	くしゃみをする
sniff	くんくんかぐ
snooze	うたた寝する
snore	いびきをかく
snuggle	寄り添う
soak	浸す
soar	舞い上がる
sob	すすり泣く
solve	解く
soothe	なだめる
sow	種をまく
spank	ぴしゃりと打つ
spare	倹約する
spawn	産む
speak	話す
spell	綴る
spend	費す
spill	こぼす
spin	回す
splash	はねあげる
split	割る
spoil	だめにする
sprain	くじく
spray	散布する
spread1	広がる
spread2	広げる
spring	跳ぶ
sprinkle	振りかける
squeak	キーキー鳴る
squeal	金切り声をあげる
squeeze	搾る
squint	目を細めて見る
stab	刺す
stain	汚す
stamp	スタンプで押す
stand	立つ
stare	見つめる
start1	始まる
start2	始める
starve1	餓死する
starve2	餓死させる
stay	とどまる
steal	盗む
steer	操縦する
stew	煮込む
sting	刺す
stink	臭う
stir	かき回す
stop1	止まる
stop2	止める
strain	張る
stray	はぐれる
stretch	引っ張る
strike	打つ
strip	裸にする
strive	努力する
struggle	苦労する
study	勉強する
stumble	つまずく
submit	提出する
subtract	減じる
succeed	成功する
suck	吸う
sue	訴える
suggest	提案する
supply	供給する
suppose	仮定する
surpass	勝る
surprise	驚かせる
survive	生き残る
suspect	疑う
swallow	飲み込む
swap	交換する
sway	揺れる
swear	誓う
sweat	汗をかく
swim	泳ぐ
swing	揺り動かす
swoon	気絶する
tackle	タックルする
take	取る
talk	話す
tan	日焼けさせる
tap	叩く
tarnish	曇らせる
taste	味わう
teach	教える
tear	引き裂く
tease	いじめる
tell	話す
tend	傾向がある
testify	証言する
thaw	解ける
think	思う
throw	投げる
tickle	くすぐる
tie	結ぶ
tire	疲れさせる
toast	焼く
toil	苦労する
toss	投げる
touch	触れる
tow	引っぱる
trail	跡を追う
transplant	移植する
travel	旅行する
tread	踏む
treat	扱う
trim	刈り込む
triumph	勝利する
try	試みる
tug	引く
tumble	倒れる
turn	回す
understand	理解する
unite	結合する
unload	荷物を降ろす
update	更新する
upset	狼狽させる
urge	促す
use	使う
usurp	強奪する
vacate	立ちのく
vanish	消える
vary	変わる
veer	向きを変える
verify	証明する
visit	訪問する
vomit	吐く
wag	振る
wait	待つ
wake1	起きる
wake2	起こす
walk	歩く
wander	さまよう
want	欲しい
warn	警告する
wash	洗う
waste	浪費する
watch	見る
wear	着る
weave	織る
wed	結婚する
weep	泣く
whip	むち打つ
whisper	ささやく
whistle	口笛を吹く
wiggle	ピクピク動かす
win	勝つ
wipe	ぬぐう
withdraw	引っ込める
work	働く
worry	心配する
wrap	包む
wreck	難破させる
write	書く
yawn	あくびをする
yearn	憧れる
yell	叫ぶ
yield	もたらす
