abduct	劫持
combine	结合
come	过来
comfort	安慰
command	命令
commit1	犯罪
commit2	承担
communicate	交流
compete	竞争
complain	抱怨
compose1	构成
compose2	作曲
compound	合成
comprehend	理解
compute	计算
concentrate	集中
concern1	关心
concern2	涉及
concur	同意
condemn	定罪
confess	忏悔
confuse	使困惑
connect	连接
conquer	战胜
console	安慰
conspire	密谋
construct	构造
control	控制
convince	说服
cook	烹调
cooperate	合作
cope	处理
correct	改正
corrupt	堕落
cough	咳嗽
count	计数
cover	覆盖
crack	破裂
crackle	发出爆裂声
crash	撞碎
crave	渴望
crawl	爬行
create	创造
criticize	批评
croak	嘶哑地说
crochet	编织
cruise	巡航
crunch	咬碎
crush	压碎
cry	哭喊
cuddle	拥抱
damn	谴责
dance	跳舞
dare	胆敢
dash	猛冲
deal	处理
debate	辩论
decay	衰退
deceive	欺骗
decide	决定
decline1	下降
decline2	谢绝
decompose	分解
decorate	装饰
decrease	减少
dedicate	致力于
defeat	击败
defend	防守
define	定义
defrost	解冻
degrade	降级
delay	延期
deliver	递送
demand	要求
demolish	拆除
deny	否认
depart	出发
depend	依赖
deposit	沉淀
descend	下降
describe	描述
design	设计
desire	渴望
despair	绝望
despise	鄙视
destroy	破坏
detach	分离
deteriorate	恶化
determine	决心
develop	开发
devote	奉献
die	死亡
differ	相异
dig	挖掘
diminish	减少
dip	蘸
direct	指导
disagree	不同意
disallow	不接受
disappear	消失
disappoint	使失望
disbelieve	不信
discharge1	解雇
discharge2	卸下
discourage	使气馁
discover	发现
discuss	讨论
disguise	伪装
disgust	使厌恶
disintegrate	瓦解
dislike	不喜欢
dismay	使沮丧
dismiss	解散
disown	脱离关系
disperse	分散
dispose	部署
disprove	反驳
disregard	忽视
dissolve	溶解
disturb	打扰
dive	潜水
divide	划分
do	做
dominate	支配
doubt	怀疑
doze	打盹
drag	拖拉
drain1	耗尽
drain2	排水
draw	画
drench	湿透
drift	漂流
drink	喝
drip	滴下
drive	驾驶
drown	淹没
duck	躲避
dump1	倾倒
dump2	丢下
dunk	浸泡
duplicate	复制
earn	赚取
educate	教育
elect	选出
embarrass	使困窘
embrace	拥抱
encourage	鼓励
enforce	强制
engage	从事
enjoy	享受
enrage	激怒
ensure	确保
enter	进入
entertain1	娱乐
entertain2	招待
erode	腐蚀
erupt	爆发
escape	逃脱
evacuate	疏散
evaluate	评估
evict	驱逐
examine	检查
exceed	超过
excel	胜过
exchange	交换
excuse	申辩
exhale	呼出
exist	存在
explain	解释
explode	爆炸
exploit1	开发
exploit2	剥削
express	表达
face	面对
fade	褪色
fail	失败
fall	下落
fasten	扣紧
feed	喂养
feel	感觉
fight	打架
fill	装满
find	找到
finish	结束
fit	适合
fix	修理
flap	拍动
flash	闪现
flee	逃跑
flex	折曲
fling	抛掷
flip	轻弹
float	漂浮
flow	流动
flush	冲洗
flutter	鼓翼
fly	飞行
foil	阻止
fold	折叠
follow	跟随
forbear	克制
forbid	禁止
forget	忘记
forgive	原谅
frame	陷害
free	释放
freeze	冷冻
frighten	吓唬
frustrate	受挫
fry	油炸
gain	获得
gamble	赌博
gather	聚集
get	得到
giggle	咯咯地笑
give	给予
glance	瞥见
glare	瞪视
glide	滑翔
glow	发光
go	走
grab	夺取
graduate	毕业
grant	授予
grasp1	抓住
grasp2	理解
grate	磨碎
graze1	擦伤
graze2	放牧
greet	打招呼
grill	烧烤
grind	磨碎
grow	生长
guess	猜测
gulp	狼吞虎咽
hamper	妨碍
handle	处理
hang	悬挂
happen	发生
hatch	孵化
hate	憎恨
haul	拖
haunt	闹鬼
have	有
heal	治愈
hear	听见
help	帮助
hesitate	犹豫
hide	躲藏
hike	远足
hit	击打
hitch	套住
hold	持有
holler	呼叫
hoot	鸣响
hop	弹跳
hope	希望
hug	拥抱
hum	哼哼作响
humiliate	羞辱
hunt	打猎
hurry	仓促
hurt	伤害
hustle1	推搡
hustle2	骗取财富
hypnotize	催眠
ignore	忽视
imagine	想象
imitate	模仿
impersonate	拟人
implode	内爆
impose	强加
incline	倾向于
include	包含
increase	增加
inform	通知
inhale	吸气
inquire	询问
inspect	检查
instruct	指导
insult	侮辱
insure	投保
integrate	整合
intend	打算
interrupt	打断
intoxicate	使中毒
introduce	介绍
invalidate	使无效
invent	发明
invite	邀请
involve	牵涉
irritate	激怒
jerk	痉挛
jog	慢跑
join	加入
judge	审判
jump	跳跃
justify	证明合法
keep	保持
kick	踢
kidnap	绑架
kill	杀死
kiss	接吻
kneel	下跪
knit	编织
knock	敲打
know	知道
laugh	笑
launch1	发射
launch2	开始
lay	放置
lead	领导
lean	倾斜
leap	飞跃
learn	学习
leave	离开
lend	借给
let1	出租
let2	允许
lick	舔
lie1	躺下
lie2	说谎
lift	举起
like	喜欢
limit	限制
limp	跛行
listen	倾听
litter	乱丢
live	居住
look	看起来
loosen	松开
lose	失败
lounge	闲混
lower	降低
magnify	放大
make	制造
manage	管理
marry	结婚
matter	要紧
mean	用意
meet1	见面
meet2	满足
melt	熔化
mend	修理
mimic	摹拟
mind	介意
miss1	错过
miss2	想念
misspend	滥用
mistreat	虐待
mix	混合
move	移动
mow	割草
multiply1	乘
multiply2	繁殖
munch	大声咀嚼
nag	唠叨
nap	小睡
need	需要
neglect	忽略
notify	通知
nullify	作废
obey	服从
object	反对
observe	观察
obtain	获得
offend	冒犯
operate	运作
organize	组织
originate	发源
outnumber	数目超过
overcome	克服
overflow	溢出
overpower	压倒
overwhelm	淹没
own	拥有
paint	涂画
pardon	原谅
participate	参与
pass	通过
pat	轻拍
pause	暂停
pay	支付
pelt	投掷攻击
perceive	感知
perform	表演
perish	消亡
permit	许可
perspire	流汗
persuade	说服
pick	挑选
pinch	捏
play	玩耍
plead	恳求
please	讨人喜欢
plow	耕地
pluck	拔掉
poach1	水煮
poach2	偷猎
poise	平衡
polish	磨光
ponder	沉思
pop	突然出现
portray	描绘
possess	掌握
pounce	猛扑
pour	倾倒
practice	练习
pray	祈祷
predict	预测
prefer	更喜欢
prepare	准备
press	按压
presume	假定
pretend	假装
preview	预览
prick	刺伤
print	打印
produce	生产
prohibit	禁止
promise	允诺
promote	促进
prosecute	检举
prosper	繁荣
protect	保护
protest	抗议
prove	证明
pull	拉
punch	拳打
punish	惩罚
purchase	购买
push	推
put	放
quench	熄灭
raise	提高
rap1	连续叩击
rap2	说唱
rationalize	使合理化
rattle1	喋喋不休
rattle2	咯咯作响
reach	到达
read	阅读
realize	认识到
reap	收割
reappear	再出现
rearrange	重新整理
rebel	反抗
recall1	召回
recall2	想起
receive	收到
recommend	推荐
recruit	招聘
recycle	回收利用
reduce	减少
reel1	卷
reel2	蹒跚
reflect	反映
refrain	克制
refuse	拒绝
register	注册
regret	后悔
reject	拒绝
rejoice	高兴
relax	放松
release	释放
rely	依靠
remain	保持
remark1	评论
remark2	觉察
remember	记得
remind	提醒
remove	移除
renounce	放弃
repair	修复
repeat	重复
replace	取代
reply	回复
repress	镇压
reprimand	责难
reproduce	繁殖
request	请求
rescue	营救
reserve	预约
respect	尊敬
respond	回应
restore	恢复
restrict	限制
result	导致
retain	保持
retire	退休
retreat	撤退
return	返回
review1	回顾
review2	评论
ride	骑马
ridicule	嘲笑
rinse	冲洗
rip	撕裂
rise	升起
risk	冒风险
roam	漫游
roar	咆哮
rob	抢劫
rub	摩擦
run	奔跑
rush	匆忙
salute	敬礼
save	救援
say	说
scare	惊吓
scold	责骂
scramble	攀爬
scratch	擦刮
scream	尖叫
scribble	乱涂乱写
search	搜寻
secure	安全获得
see	看见
seek	寻找
seem	似乎
seize	夺取
select	挑选
sell	销售
send	派遣
separate	分开
serve	服务
set	放置
settle1	解决
settle2	定居
sew	缝纫
shake	动摇
shatter	打碎
shift	转移
shine	发亮
shiver	颤抖
shoot	射击
shove	推挤
show	展示
shrink	缩小
shuffle	搅乱
shun	回避
shut	关上
sing	歌唱
sink	下沉
sip	啜饮
sit	就坐
skip	跳过
slap	掌击
slay	杀死
slice	切片
slide	滑动
slip	滑脱
slither	滑行
slurp	出声地吃或喝
smash	打碎
smear	涂上
smell	闻
smoke	抽烟
smother	窒息
smudge	弄脏
snap	突然折断
snatch	抢夺
sneak	鬼鬼祟祟
sneeze	打喷嚏
sniff	嗅
snooze	打盹
snore	打鼾
snuggle	偎依
soak	浸泡
soar	高涨
sob	呜咽
solve	解决
soothe	安慰
sow	播种
spank	拍打
spare1	饶恕
spare2	节约
spawn1	产卵
spawn2	造成
speak1	说话
speak2	演讲
spell	拼写
spend1	度过
spend2	花钱
spill	溢出
spin	旋转
splash	飞溅
split	分离
spoil1	宠溺
spoil2	毁坏
sprain	扭伤
spray	喷射
spread	传播
spring	弹跳
sprinkle	撒
squeak	吱吱叫
squeal	尖声叫
squeeze	挤
squint	斜眼看
stab	刺伤
stain	玷污
stamp	跺脚
stand1	站立
stand2	忍受
stare	凝视
start	开始
starve	挨饿
stay	停留
steal	偷窃
steer	驾驶
stew	炖汤
sting	刺痛
stink	发出臭味
stir	搅拌
stop	停止
strain1	过滤
strain2	拉紧
stray	流浪
stretch	伸展
strike1	罢工
strike2	打击
strip1	剥夺
strip2	脱衣
strive	奋斗
struggle	挣扎
study	学习
stumble	绊倒
submit	提交
subtract	减去
succeed	成功
suck	吮吸
sue	起诉
suggest	建议
supply	供给
suppose	假设
surpass	超越
surprise	使惊讶
survive	幸存
suspect	怀疑
swallow	吞咽
swap	交换
sway	摇摆
swear	发誓
sweat	出汗 
swim	游泳
swing	摆动
swoon	着迷
tackle	处理
take	拿
talk	谈话
tan	晒黑
tap	轻叩
tarnish	失去光泽
taste	尝起来
teach	教授
tear1	流泪
tear2	撕破
tease	取笑
tell	告诉
tend	倾向
testify	证实
thaw	融解
think	认为
throw	投掷
tickle	使发痒
tie	打结
tire	疲劳
toast1	烘烤
toast2	干杯
toil	辛苦劳作
toss	扔
touch	触碰
tow	拖拽
trail	追踪
transplant	移植
travel	旅行
tread	踩踏
treat1	对待
treat2	治疗
trim	修剪
triumph	获得胜利
try	尝试
tug	猛拉
tumble	摔倒
turn	转弯
understand	理解
unite	联合
unload	卸货
update	更新
upset	使心烦
urge	催促
use	利用
usurp	篡夺
vacate	空出
vanish	消失
vary	变化
veer	转向
verify	核实
visit	访问
vomit	呕吐
wag	摇摆
wait	等待
wake	醒来
walk	散步
wander	漫步
want	想要
warn	警告
wash	冲洗
waste	浪费
watch	观看
wear	穿着
weave	编织
wed	结婚
weep	哭泣
whip	抽打
whisper	耳语
whistle	吹口哨
wiggle	扭动
win	获胜
wipe	擦拭
withdraw	撤退
work	工作
worry	担心
wrap	包裹
wreck	破坏
write	写
yawn	打哈欠
yearn	向往
yell	喊叫
yield1	产生
yield2	屈服
