abduct1	siepata
demolish1	hävittää
demolish2	tuhota
deny1	kieltäytyä
deny2	kieltää
depart	lähteä
depend	riippua
deposit	tallettaa
descend	laskeutua
describe1	kuvata
describe2	kuvailla
design	suunnitella
desire	haluta
despair	olla epätoivoinen
despise1	inhota
despise2	halveksia
destroy	tuhota
detach	irrottaa
deteriorate	huonontua
determine	määrittää
develop	kehittää
devote1	omistautua
devote2	omistaa
die	kuolla
differ	erota
dig	kaivaa
diminish1	vähentää
diminish2	pienentyä
dip	kastaa
direct	suunnata
disagree	olla eri mieltä
disallow	evätä
disappear1	kadota
disappear2	hävitä
disappoint	pettää
disbelieve	epäillä
discharge	vapauttaa
discourage1	estää
discourage2	lannistaa
discover	löytää
discuss	keskustella
disguise	peittää
disgust	inhottaa
disintegrate	hajota
dislike	inhota
dismay	tyrmistyttää
dismiss	erottaa
disown1	olla tunnustamatta
disown2	hylätä
disperse1	hajottaa
disperse2	hajota
dispose1	asetella
dispose2	järjestää
disprove	kumota
disregard1	sivuuttaa
disregard2	ohittaa
dissolve	liueta
disturb	häiritä
dive	sukeltaa
divide1	jakaa
divide2	jakaantua
do	tehdä
dominate1	dominoida
dominate2	hallita
doubt	epäillä
doze	torkkua
drag1	vetää
drag2	raahata
drain1	tyhjentää
drain2	uuvuttaa
drain3	valua pois
draw	piirtää
drench1	peittää
drench2	kastella
drift1	kellua
drift2	ajelehtia
drink	juoda
drip1	tiputtaa
drip2	tippua
drive	ajaa
drown	hukkua
duck	väistää
dump1	hylätä
dump2	pudottaa
dunk	upottaa
duplicate1	toistaa
duplicate2	monistaa
earn1	tienata
earn2	ansaita
educate	kouluttaa
elect	valita
embarrass	nolata
embrace1	halata
embrace2	käsittää
encourage	rohkaista
enforce	valvoa
engage1	sitoutua
engage2	lupautua
enjoy	nauttia
enrage	raivostuttaa
ensure	varmistaa
enter	mennä sisälle
entertain	viihdyttää
erode	kuluttaa
erupt1	purkautua
erupt2	puhjeta
escape	paeta
evacuate	evakuoida
evaluate	arvioida
evict	häätää
examine	tutkia
exceed	ylittää
excel	loistaa
exchange	vaihtaa
excuse1	antaa anteeksi
excuse2	keksiä tekosyy
exhale	hengittää ulos
exist	olla olemassa
explain	selittää
explode	räjähtää
exploit	käyttää hyväkseen
express	ilmaista
face	kohdata
fade	haihtua
fail	epäonnistua
fall	kaatua
fasten	kiinnittää
feed1	syöttää
feed2	syödä
feel	tuntea
fight1	tapella
fight2	taistella
fill	täyttää
find	löytää
finish1	lopettaa
finish2	loppua
fit1	sopia
fit2	mahtua
fix	korjata
flap	lepattaa
flash1	väläyttää
flash2	salamoida
flee	paeta
flex	taivuttaa
fling1	heittää
fling2	paiskata
flip	kääntää
float1	kellua
float2	ajelehtia
flow	virrata
flush	punastua
flutter1	väristä
flutter2	lepattaa
fly	lentää
foil	estää
fold	taittaa
follow	seurata
forbear	pidättyä
forbid	kieltää
forget	unohtaa
forgive	antaa anteeksi
frame	kehystää
free	vapauttaa
freeze	jäädyttää
frighten	pelottaa
frustrate	turhauttaa
fry	paistaa
gain	saada
gamble1	uhkapelata
gamble2	riskeerata
gather1	kerätä
gather2	koota
get	saada
giggle	kikattaa
give	antaa
glance	silmäillä
glare1	tuijottaa
glare2	mulkoilla
glide	liukua
glow	hehkua
go	mennä
grab	napata
graduate	valmistua
grant	myöntää
grasp	ymmärtää
grate1	raastaa
grate2	hangata
graze	laiduntaa
greet	tervehtiä
grill	grillata
grind	jauhaa
grow1	kasvaa
grow2	kasvattaa
guess	arvata
gulp1	nielaista
gulp2	hotkaista
hamper	haitata
handle	käsitellä
hang1	roikkua
hang2	riippua
happen	tapahtua
hatch	kuoriutua
hate	vihata
haul1	raahata
haul2	kiskoa
haunt	kummitella
have1	omistaa
have2	olla
heal1	parantaa
heal2	parantua
hear	kuulla
help	auttaa
hesitate	epäröidä
hide1	piilottaa
hide2	piiloutua
hike1	vaeltaa
hike2	retkeillä
hit1	osua
hit2	lyödä
hitch1	kiinnittää
hitch2	sitoa
hitch3	liftata
hold	pitää
holler1	huutaa
holler2	hoilata
hoot	huhuilla
hop	hypätä
hope	toivoa
hug	halata
hum	hyräillä
humiliate	nöyryyttää
hunt	metsästää
hurry	kiirehtiä
hurt1	satuttaa
hurt2	sattua
hustle	touhuta
hypnotize	hypnotisoida
ignore	jättää huomiotta
imagine	kuvitella
imitate1	matkia
imitate2	imitoida
impersonate	esiintyä jonakin
implode	romahtaa
impose	määrätä
incline	osoittaa taipumusta
include	sisältää
increase1	kasvaa
increase2	lisääntyä
inform	informoida
inhale	hengittää sisään
inquire	tiedustella
inspect1	tutkia
inspect2	tarkastella
instruct1	ohjeistaa
instruct2	ohjata
insult	loukata
insure	vakuuttaa
integrate1	integroida
integrate2	yhdistää
intend	aikoa
interrupt	keskeyttää
intoxicate1	juovuttaa
intoxicate2	huumata
introduce	esitellä
invalidate	mitätöidä
invent	keksiä
invite	kutsua
involve	ottaa mukaan
irritate	ärsyttää
jerk	heilahtaa
jog	hölkätä
join	liittyä seuraan
judge	tuomita
jump	hypätä
justify	perustella
keep1	pitää
keep2	säilyttää
kick	potkia
kidnap	kidnapata
kill	tappaa
kiss	suudella
kneel	polvistua
knit	kutoa
knock	koputtaa
know	tietää
laugh	nauraa
launch1	tuoda markkinoille
launch2	aloittaa
lay1	asettaa
lay2	maata
lead	johtaa
lean	nojata
leap	harpata
learn	oppia
leave	lähteä
lend	lainata
let	antaa
lick	nuolla
lie	valehdella
lift	nostaa
like	pitää
limit	rajoittaa
limp	ontua
listen	kuunnella
litter	roskata
live	elää
look	katsoa
loosen	löysätä
lose	menettää
lounge	lorvailla
lower1	madaltaa
lower2	alentaa
magnify	suurentaa
make	tehdä
manage	hoitaa
marry	mennä naimisiin
matter1	merkitä
matter2	haitata
mean	tarkoittaa
meet	tavata
melt	sulaa
mend	korjata
mimic	matkia
mind	välittää
miss1	kaivata
miss2	jättää välistä
misspend	heittää hukkaan
mistreat	kohdella huonosti
mix	sekoittaa
move1	liikkua
move2	liikuttaa
mow	leikata
multiply1	lisääntyä
multiply2	moninkertaistua
munch	ahmia
nag	motkottaa
nap	ottaa torkut
need	tarvita
neglect	laiminlyödä
notify	ilmoittaa
nullify	tehdä tyhjäksi
obey	totella
object	vastustaa
observe1	tarkkailla
observe2	huomata
obtain	saada
offend	loukata
operate1	operoida
operate2	käyttää
organize1	organisoida
organize2	järjestää
originate1	saada alkunsa
originate2	olla peräisin
outnumber	olla lukuisampi
overcome1	voittaa
overcome2	päästä yli
overflow	vuotaa yli
overpower	kukistaa
overwhelm1	musertaa
overwhelm2	hukuttaa
own	omistaa
paint	maalata
pardon1	antaa anteeksi
pardon2	armahtaa
participate	osallistua
pass1	kulkea
pass2	mennä läpi
pat	taputtaa
pause1	pitää paussi
pause2	keskeyttää
pay	maksaa
pelt	rynnätä
perceive	havaita
perform	esittää
perish1	menehtyä
perish2	haurastua
permit	sallia
perspire	hikoilla
persuade1	suostutella
persuade2	vaatia
pick	valita
pinch	nipistää
play1	soittaa
play2	leikkiä
plead	anoa
please	miellyttää
plow	aurata
pluck	nyppiä
poach1	kaapata
poach2	salametsästää
poise	tasapainoilla
polish	kiillottaa
ponder1	miettiä
ponder2	pohtia
pop1	poksauttaa
pop2	tupsahtaa
portray	esittää
possess	omistaa
pounce	pomppia
pour	kaataa
practice	harjoittaa
pray	rukoilla
predict	ennustaa
prefer	pitää parempana
prepare	valmistaa
press	painaa
presume	olettaa
pretend	teeskennellä
preview	esikatsella
prick1	pistää
prick2	puhkaista
print1	tulostaa
print2	printata
produce1	tuottaa
produce2	tehdä
prohibit	kieltää
promise	luvata
promote1	edistää
promote2	ylentää
prosecute	syyttää
prosper	menestyä
protect1	suojata
protect2	suojella
protest1	protestoida
protest2	osoittaa mieltään
prove	osoittaa
pull	vetää
punch1	lyödä
punch2	tuupata
punish	rangaista
purchase	ostaa
push	työntää
put	laittaa
quench	sammuttaa
raise	nostaa
rap	räpätä
rationalize	rationalisoida
rattle	helistää
reach1	tavoittaa
reach2	ylettää
read	lukea
realize1	tajuta
realize2	ymmärtää
reap	niittää
reappear	ilmestyä uudelleen
rearrange	järjestää uudelleen
rebel	kapinoida
recall1	muistaa
recall2	palauttaa mieleen
receive	vastaanottaa
recommend	suositella
recruit	rekrytoida
recycle	kierrättää
reduce	vähentää
reel	pyörittää
reflect	heijastaa
refrain	pidättäytyä
refuse	kieltäytyä
register	ilmoittautua
regret	katua
reject	kieltäytyä
rejoice	iloita
relax	rentoutua
release1	vapauttaa
release2	julkaista
rely	luottaa
remain	jäädä jäljelle
remark	huomata
remember	muistaa
remind	muistuttaa
remove	poistaa
renounce	kieltää
repair	korjata
repeat	toistaa
replace	korvata
reply	vastata
repress	tukahduttaa
reprimand	nuhdella
reproduce	lisääntyä
request	pyytää
rescue	vapauttaa
reserve	varata
respect	kunnioittaa
respond	vastata
restore	palauttaa
restrict	rajoittaa
result1	seurata
result2	olla tuloksena
retain	säilyttää
retire	jäädä eläkkeelle
retreat	vetäytyä
return	palauttaa
review1	arvostella
review2	arvioida
ride1	ratsastaa
ride2	ajaa
ridicule	pilkata
rinse	huuhdella
rip	repiä
rise	nousta
risk	riskeerata
roam	vaeltaa
roar	karjua
rob	ryöstää
rub	hieroa
run	juosta
rush	kiirehtiä
salute	tervehtiä
save1	tallettaa
save2	tallentaa
say	sanoa
scare	pelottaa
scold	röykyttää
scramble1	kiiruhtaa
scramble2	rynnätä
scratch	raapia
scream1	huutaa
scream2	kiljua
scribble1	raapustaa
scribble2	hahmotella
search	etsiä
secure	turvata
see	nähdä
seek	etsiä
seem1	vaikuttaa
seem2	näyttää
seize	takavarikoida
select	valita
sell	myydä
send	lähettää
separate	erottaa
serve	palvella
set	laittaa
settle	asettua aloilleen
sew	ommella
shake	ravistella
shatter	särkeä
shift	siirtää
shine	paistaa
shiver	vapista
shoot	ampua
shove	työntää
show	näyttää
shrink	kutistua
shuffle	sekoittaa
shun	karttaa
shut	sulkea
sing	laulaa
sink	upottaa
sip1	siemailla
sip2	maistaa
sit	istua
skip	hypätä yli
slap	läimäyttää
slay	surmata
slice	viipaloida
slide	liukua
slip	lipsahtaa
slither	luikerrella
slurp	ryystää
smash1	murskata
smash2	iskeä
smear1	panetella
smear2	sutata
smell	haistaa
smoke1	tupakoida
smoke2	savuttaa
smother	tukahduttaa
smudge	tahrata
snap	napsahtaa
snatch	siepata
sneak	hiipiä
sneeze	aivastaa
sniff1	niiskuttaa
sniff2	haistaa
snooze	torkkua
snore	kuorsata
snuggle	käpertyä
soak	upottaa
soar1	liidellä
soar2	liitää
sob1	itkeä
sob2	nyyhkyttää
solve	ratkaista
soothe1	lohduttaa
soothe2	rauhoittaa
sow	kylvää
spank	läimäyttää
spare	säästää
spawn	kutea
speak	puhua
spell	loihtia
spend1	viettää
spend2	kuluttaa rahaa
spill	läikkyä
spin1	pyöriä
spin2	pyöräyttää
spin3	lingota
splash1	roiskia
splash2	roiskahtaa
split	halkaista
spoil	pilata
sprain	nyrjähtää
spray	ruiskuttaa
spread1	levittää
spread2	levitä
spring	ponkaista
sprinkle	ripotella
squeak	kitistä
squeal	kiljua
squeeze	puristaa
squint	siristää silmiään
stab1	pistää
stab2	puukottaa
stain	tahrata
stamp	leimata
stand	seisoa
stare	tuijottaa
start	aloittaa
starve	nähdä nälkää
stay	jäädä
steal	varastaa
steer	ohjata
stew1	hauduttaa
stew2	paistua
sting	pistää
stink1	haista
stink2	lemuta
stir1	sekoittaa
stir2	nousta
stop	lopettaa
strain	rasittaa
stray	harhailla
stretch1	venyttää
stretch2	venytellä
strike1	lakkoilla
strike2	iskeä
strip1	riisua
strip2	ottaa pois
strive	pyrkiä
struggle1	taistella
struggle2	tapella
study	opiskella
stumble	kompastella
submit	lähettää
subtract	vähentää
succeed	onnistua
suck1	imeä
suck2	imaista
sue	haastaa oikeuteen
suggest	ehdottaa
supply	toimittaa
suppose	olettaa
surpass	ylittää
surprise	yllättää
survive	selvitä
suspect	epäillä
swallow	nielaista
swap	vaihtaa
sway1	keinuttaa
sway2	keinua
swear1	vannoa
swear2	kiroilla
sweat	hikoilla
swim	uida
swing	keinua
swoon1	pyörtyä
swoon2	haltioitua
tackle1	taklata
tackle2	torjua
take	ottaa
talk	puhua
tan	ruskettaa
tap1	asentaa
tap2	avata
tap3	naputtaa
tarnish	tummua
taste	maistua
teach	opettaa
tear	repiä
tease1	kiusata
tease2	kiusoitella
tell1	kertoa
tell2	sanoa
tend	huolehtia
testify	todistaa
thaw	sulaa
think	ajatella
throw	heittää
tickle	kutittaa
tie	sitoa
tire	väsyttää
toast1	paahtaa
toast2	nostaa lasi
toil	puurtaa
toss1	heittää
toss2	nakata
touch1	koskettaa
touch2	koskea
tow	hinata
trail1	seurata
trail2	jäljittää
transplant	siirtää
travel	matkustaa
tread1	astua
tread2	toimia
treat	kohdella
trim1	trimmata
trim2	siistiä
triumph	riemuita
try	yrittää
tug	vetää
tumble1	romahtaa
tumble2	laskea
turn	kääntyä
understand	ymmärtää
unite	yhdistää
unload	purkaa
update	päivittää
upset1	järkyttää
upset2	häiritä
urge	vaatia
use	käyttää
usurp	anastaa
vacate	tyhjentää
vanish1	hävitä
vanish2	kadota
vary	vaihdella
veer	kääntyä
verify	tarkistaa
visit	vierailla
vomit	oksentaa
wag	heiluttaa
wait	odottaa
wake1	herättää
wake2	herätä
walk	kävellä
wander	vaeltaa
want	haluta
warn	varoittaa
wash	pestä
waste1	hukata
waste2	tuhlata
watch	katsella
wear1	pitää päällä
wear2	käyttää
weave	kutoa
wed	vihkiä
weep	itkeä
whip1	vatkata
whip2	ruoskia
whisper	kuiskata
whistle1	viheltää
whistle2	puhaltaa pilliä
wiggle	heilua
win	voittaa
wipe	pyyhkiä
withdraw1	vetäytyä
withdraw2	vetää pois
work1	tehdä työtä
work2	työskennellä
worry1	huolehtia
worry2	olla huolissaan
wrap1	kääriä
wrap2	kietoa
wreck	tuhota
write	kirjoittaa
yawn	haukotella
yearn	kaivata
yell	huutaa
yield	tuottaa
